t=2025-11-15T16:53:22+0100 lvl=info msg="no configuration paths supplied"
t=2025-11-15T16:53:22+0100 lvl=info msg="using configuration at default config path" path="/Users/guillaume_deramchi/Library/Application Support/ngrok/ngrok.yml"
t=2025-11-15T16:53:22+0100 lvl=info msg="open config file" path="/Users/guillaume_deramchi/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-11-15T17:16:06+0100 lvl=info msg="join connections" obj=join id=24fdcf45fa7e l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63230
t=2025-11-15T17:16:07+0100 lvl=info msg="join connections" obj=join id=b240c77411ca l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:07+0100 lvl=info msg="join connections" obj=join id=c49c952b1cc7 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:22+0100 lvl=info msg="join connections" obj=join id=fb5716f960ca l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:27+0100 lvl=info msg="join connections" obj=join id=b90599fba712 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:27+0100 lvl=info msg="join connections" obj=join id=63c474c92d28 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:27+0100 lvl=info msg="join connections" obj=join id=d6a74984352e l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:28+0100 lvl=info msg="join connections" obj=join id=081865a9656f l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:28+0100 lvl=info msg="join connections" obj=join id=cf85d6db6cbd l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:28+0100 lvl=info msg="join connections" obj=join id=ce49945f1a6b l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:28+0100 lvl=info msg="join connections" obj=join id=308b8736b0a3 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:28+0100 lvl=info msg="join connections" obj=join id=0090da89cc5e l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:28+0100 lvl=info msg="join connections" obj=join id=5c72a3baf4b3 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:29+0100 lvl=info msg="join connections" obj=join id=c0d1e69b7715 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:50+0100 lvl=info msg="join connections" obj=join id=e3deb530921c l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:16:59+0100 lvl=info msg="join connections" obj=join id=4643a8bb7324 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:17:06+0100 lvl=info msg="join connections" obj=join id=3396b5b374d7 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63227
t=2025-11-15T17:17:24+0100 lvl=info msg="join connections" obj=join id=a4937e923dd5 l=[::1]:3000 r=52.91.221.108:30510
t=2025-11-15T17:17:26+0100 lvl=info msg="join connections" obj=join id=ab6b21983223 l=[::1]:3000 r=34.228.224.164:42292
t=2025-11-15T17:17:29+0100 lvl=info msg="join connections" obj=join id=1f7629c509b1 l=[::1]:3000 r=3.86.45.28:57812
t=2025-11-15T17:17:41+0100 lvl=info msg="join connections" obj=join id=07cdfe27bd88 l=[::1]:3000 r=44.211.40.185:38422
t=2025-11-15T17:31:12+0100 lvl=info msg="join connections" obj=join id=7eb958e9a8ba l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63306
t=2025-11-15T17:31:13+0100 lvl=info msg="join connections" obj=join id=c653eeff3148 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63306
t=2025-11-15T17:31:13+0100 lvl=info msg="join connections" obj=join id=d32d822aa4d1 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63306
t=2025-11-15T17:31:13+0100 lvl=info msg="join connections" obj=join id=b5e64af513c9 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63306
t=2025-11-15T17:31:13+0100 lvl=info msg="join connections" obj=join id=bf40f7bf4572 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63306
t=2025-11-15T17:31:13+0100 lvl=info msg="join connections" obj=join id=80dd64a5d8b7 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63306
t=2025-11-15T17:31:13+0100 lvl=info msg="join connections" obj=join id=dde94e784fa0 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63306
t=2025-11-15T17:31:13+0100 lvl=info msg="join connections" obj=join id=a65f70b4dcea l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63306
t=2025-11-15T17:31:13+0100 lvl=info msg="join connections" obj=join id=f6397748fd34 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63306
t=2025-11-15T17:31:13+0100 lvl=info msg="join connections" obj=join id=b52d4e24ef60 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63306
t=2025-11-15T17:31:13+0100 lvl=info msg="join connections" obj=join id=bdabcfda1c33 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63306
t=2025-11-15T17:31:13+0100 lvl=info msg="join connections" obj=join id=72023a28b58f l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63306
t=2025-11-15T17:31:13+0100 lvl=info msg="join connections" obj=join id=8f6007dfe49b l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63306
t=2025-11-15T17:31:13+0100 lvl=info msg="join connections" obj=join id=aec647b38d75 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63306
t=2025-11-15T17:31:13+0100 lvl=info msg="join connections" obj=join id=92a2a4b8d796 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63306
t=2025-11-15T17:31:13+0100 lvl=info msg="join connections" obj=join id=74c4528a71c6 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63306
t=2025-11-15T17:31:13+0100 lvl=info msg="join connections" obj=join id=d754ec7ec5da l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63306
t=2025-11-15T17:31:13+0100 lvl=info msg="join connections" obj=join id=3b7a356e62ec l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63306
t=2025-11-15T17:31:14+0100 lvl=info msg="join connections" obj=join id=2158d69fe67f l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63306
t=2025-11-15T17:31:14+0100 lvl=info msg="join connections" obj=join id=ca12fc48165d l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63306
t=2025-11-15T17:31:14+0100 lvl=info msg="join connections" obj=join id=132ef6505c77 l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63306
t=2025-11-15T17:31:14+0100 lvl=info msg="join connections" obj=join id=fdc1b1a408ec l=[::1]:3000 r=[2a02:8440:b50e:a5e3:bdb2:8ad4:7ba5:26e8]:63308
